"sample_name","embryo_no","embryo_phase","status","notes"
"1L4",1,"4to16cell","typical",NA
"1L4",2,"4to16cell","typical",NA
"1L4",3,"cleavage","typical",NA
"1L4",4,"4to16cell","typical",NA
"1L4",5,"egg","typical",NA
"1L4",6,"egg","typical",NA
"1L4",7,"4to16cell","uncertain",NA
"1L4",8,"4to16cell","typical",NA
"1L4",9,"cleavage","uncertain",NA
"1L4",10,"egg","typical",NA
"1L4",11,"egg","uncertain","torn"
"1L4",12,"egg","typical",NA
"1L4",13,"egg","typical",NA
"1L4",14,"egg","typical","torn"
"1L4",15,"egg","typical",NA
"1L4",16,"egg","typical",NA
"1L4",17,"4to16cell","typical",NA
"1L4",18,"4to16cell","typical",NA
"1L4",19,"egg","typical",NA
"1L4",20,"4to16cell","typical",NA
"1L4",21,"4to16cell","typical",NA
