"sample_name","embryo_no","embryo_phase","status","notes"
"6H9",1,"prawnchip","typical",NA
"6H9",2,"prawnchip","typical",NA
"6H9",3,"prawnchip","typical",NA
"6H9",4,"prawnchip","typical",NA
"6H9",5,"egg","uncertain","disintegrating"
"6H9",6,"prawnchip","typical",NA
"6H9",7,"egg","uncertain","disintegrating"
"6H9",8,"prawnchip","typical",NA
"6H9",9,"egg","typical",NA
"6H9",10,"egg","typical",NA
"6H9",11,"egg","typical",NA
"6H9",12,"egg","typical",NA
"6H9",13,"egg","uncertain","torn"
"6H9",14,"egg","uncertain","disintegrating"
"6H9",15,"egg","uncertain","disintegrating"
"6H9",16,"egg","typical",NA
"6H9",17,"prawnchip","typical",NA
"6H9",18,"egg","typical",NA
"6H9",19,"egg","uncertain","disintegrating"
"6H9",20,"egg","uncertain","disintegrating"
"6H9",21,"prawnchip","uncertain","torn"
"6H9",22,"prawnchip","typical",NA
"6H9",23,"egg","typical",NA
