"sample_name","embryo_no","embryo_phase","status","notes"
"7L4",1,"egg","typical",NA
"7L4",2,"egg","typical",NA
"7L4",3,"egg","typical",NA
"7L4",4,"egg","typical",NA
"7L4",5,"egg","typical",NA
"7L4",6,"egg","typical",NA
"7L4",7,"egg","typical",NA
"7L4",8,"egg","typical",NA
"7L4",9,"egg","typical",NA
"7L4",10,"egg","typical",NA
"7L4",11,"egg","typical",NA
"7L4",12,"egg","typical",NA
"7L4",13,"egg","typical",NA
"7L4",14,"egg","typical",NA
"7L4",15,"egg","typical",NA
"7L4",16,"egg","typical",NA
"7L4",17,"egg","typical",NA
"7L4",18,"egg","typical",NA
"7L4",19,"egg","typical",NA
"7L4",20,"egg","typical",NA
"7L4",21,"egg","typical",NA
"7L4",22,"egg","typical",NA
"7L4",23,"egg","typical",NA
"7L4",24,"egg","typical",NA
"7L4",25,"egg","typical",NA
"7L4",26,"egg","typical",NA
