"sample_name","embryo_no","embryo_phase","status","notes"
"6C4",1,"egg","typical",NA
"6C4",2,"egg","typical",NA
"6C4",3,"egg","typical",NA
"6C4",4,"egg","typical",NA
"6C4",5,"egg","typical",NA
"6C4",6,"egg","typical",NA
"6C4",7,"egg","typical",NA
"6C4",8,"egg","typical",NA
"6C4",9,"egg","typical",NA
"6C4",10,"egg","typical",NA
"6C4",11,"egg","typical",NA
"6C4",12,"egg","typical",NA
"6C4",13,"egg","typical",NA
"6C4",14,"egg","typical",NA
"6C4",15,"egg","typical",NA
"6C4",16,"egg","typical",NA
"6C4",17,"egg","typical",NA
"6C4",18,"egg","typical",NA
"6C4",19,"egg","typical",NA
"6C4",20,"egg","typical",NA
"6C4",21,"egg","typical",NA
"6C4",22,"egg","typical",NA
"6C4",23,"egg","typical",NA
"6C4",24,"egg","typical",NA
"6C4",25,"egg","typical",NA
"6C4",26,"egg","typical",NA
"6C4",27,"egg","typical",NA
"6C4",28,"egg","typical",NA
"6C4",29,"egg","typical",NA
"6C4",30,"egg","typical",NA
"6C4",31,"egg","typical",NA
"6C4",32,"egg","typical",NA
