"sample_name","embryo_no","embryo_phase","status","notes"
"8C9",1,"prawnchip","typical",NA
"8C9",2,"prawnchip","typical",NA
"8C9",3,"prawnchip","typical",NA
"8C9",4,"prawnchip","typical",NA
"8C9",5,"prawnchip","typical",NA
"8C9",6,"prawnchip","typical",NA
"8C9",7,"prawnchip","typical",NA
"8C9",8,"prawnchip","typical",NA
"8C9",9,"prawnchip","typical",NA
"8C9",10,"prawnchip","uncertain","torn"
"8C9",11,"prawnchip","typical",NA
"8C9",12,"prawnchip","typical",NA
"8C9",13,"prawnchip","typical",NA
"8C9",14,"prawnchip","typical",NA
"8C9",15,"prawnchip","typical",NA
"8C9",16,"prawnchip","typical",NA
"8C9",17,"prawnchip","typical",NA
"8C9",18,"prawnchip","typical",NA
"8C9",19,"prawnchip","uncertain","torn"
"8C9",20,"prawnchip","typical",NA
"8C9",21,"prawnchip","typical",NA
"8C9",22,"prawnchip","uncertain",NA
"8C9",23,"prawnchip","typical",NA
"8C9",24,"prawnchip","uncertain","torn"
"8C9",25,"prawnchip","typical",NA
"8C9",26,"prawnchip","typical",NA
"8C9",27,"prawnchip","typical",NA
