"sample_name","embryo_no","embryo_phase","status","notes"
"6M4",1,"egg","typical",NA
"6M4",2,"egg","typical",NA
"6M4",3,"egg","typical",NA
"6M4",4,"egg","typical",NA
"6M4",5,"egg","typical",NA
"6M4",6,"egg","typical",NA
"6M4",7,"egg","uncertain","disintegrating"
"6M4",8,"egg","typical",NA
"6M4",9,"egg","typical",NA
"6M4",10,"egg","typical",NA
"6M4",11,"egg","typical",NA
"6M4",12,"egg","typical",NA
"6M4",13,"egg","typical",NA
"6M4",14,"egg","typical",NA
"6M4",15,"egg","typical",NA
"6M4",16,"egg","typical",NA
"6M4",17,"egg","uncertain","disintegrating"
