date,parent_colony_a,parent_colony_b,cross_n,scint,leach_code,leachate,phase,hpf,fix_freeze,destiny,sample_id,cryo-tag label color,scint,cryo,cryo-degraded,micro,micro-degraded,cross-note,extracted?,extraction-date,extraction-note,microscopy-stitched,microscopy-note,annotated?
7/5/2024,M,B,4,77,C,control,cleavage,4,F,freeze,4C4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,26-Aug-2024,,,,
7/5/2024,M,B,4,78,L,low,cleavage,4,F,freeze,4L4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,79,M,mid,cleavage,4,F,freeze,4M4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,20-Aug-2024,,,,
7/5/2024,M,B,4,80,H,high,cleavage,4,F,freeze,4H4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,85,C,control,prawn,9,F,freeze,4C9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,86,L,low,prawn,9,F,freeze,4L9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,87,M,mid,prawn,9,F,freeze,4M9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,88,H,high,prawn,9,F,freeze,4H9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,19-Aug-2024,,,,
7/5/2024,M,B,4,93,C,control,gastrula,14,F,freeze,4C14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,M,B,4,94,L,low,gastrula,14,F,freeze,4L14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,23-Aug-2024,,,,
7/5/2024,M,B,4,95,M,mid,gastrula,14,F,freeze,4M14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,23-Aug-2024,,,,
7/5/2024,M,B,4,96,H,high,gastrula,14,F,freeze,4H14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,26-Aug-2024,,,,
7/5/2024,1-White,J/N,5,101,C,control,cleavage,4,F,freeze,5C4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,26-Aug-2024,,,,
7/5/2024,1-White,J/N,5,102,L,low,cleavage,4,F,freeze,5L4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,J/N,5,103,M,mid,cleavage,4,F,freeze,5M4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,20-Aug-2024,,,,
7/5/2024,1-White,J/N,5,104,H,high,cleavage,4,F,freeze,5H4F,yellow green,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,J/N,5,109,C,control,prawn,9,F,freeze,5C9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,J/N,5,110,L,low,prawn,9,F,freeze,5L9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,J/N,5,111,M,mid,prawn,9,F,freeze,5M9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,J/N,5,112,H,high,prawn,9,F,freeze,5H9F,dark purple,fin!,filled with sample,,filled with sample,,,TRUE,19-Aug-2024,,,,
7/5/2024,1-White,N,5,117,C,control,gastrula,14,F,freeze,5C14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,15-Aug-2024,,,,
7/5/2024,1-White,N,5,118,L,low,gastrula,14,F,freeze,5L14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,23-Aug-2024,,,,
7/5/2024,1-White,N,5,119,M,mid,gastrula,14,F,freeze,5M14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,23-Aug-2024,,,,
7/5/2024,1-White,M,5,120,H,high,gastrula,14,F,freeze,5H14F,lime green ,fin!,filled with sample,,filled with sample,,,TRUE,26-Aug-2024,,,,
7/6/2024,1-White,E,6,125,C,control,cleavage,4,F,freeze,6C4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,1-White,E,6,126,L,low,cleavage,4,F,freeze,6L4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,15-Aug-2024,,,,
7/6/2024,1-White,E,6,127,M,mid,cleavage,4,F,freeze,6M4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,1-White,E,6,128,H,high,cleavage,4,F,freeze,6H4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,15-Aug-2024,,,,
7/6/2024,1-White,E,6,133,C,control,prawn,9,F,freeze,6C9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,12-Aug-2024,,,,
7/6/2024,1-White,E,6,134,L,low,prawn,9,F,freeze,6L9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,15-Aug-2024,,,,
7/6/2024,1-White,E,6,135,M,mid,prawn,9,F,freeze,6M9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,15-Aug-2024,,,,
7/6/2024,1-White,E,6,136,H,high,prawn,9,F,freeze,6H9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,19-Aug-2024,,,,
7/6/2024,1-White,E,6,141,C,control,gastrula,14,F,freeze,6C14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,12-Aug-2024,,,,
7/6/2024,1-White,E,6,142,L,low,gastrula,14,F,freeze,6L14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,1-White,E,6,143,M,mid,gastrula,14,F,freeze,6M14F,lime green ,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,1-White,E,6,144,H,high,gastrula,14,F,freeze,6H14F,lime green ,fin!,filled with sample,,labelled,,,FALSE,NA,no sample,,,
7/6/2024,H,M,7,149,C,control,cleavage,4,F,freeze,7C4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,23-Aug-2024,,,,
7/6/2024,H,M,7,150,L,low,cleavage,4,F,freeze,7L4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,20-Aug-2024,,,,
7/6/2024,H,M,7,151,M,mid,cleavage,4,F,freeze,7M4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,26-Aug-2024,,,,
7/6/2024,H,M,7,152,H,high,cleavage,4,F,freeze,7H4F,yellow green,fin!,filled with sample,,labelled,,,TRUE,21-Aug-2024,,,,
7/6/2024,H,M,7,157,C,control,prawn,9,F,freeze,7C9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,12-Aug-2024,,,,
7/6/2024,H,M,7,158,L,low,prawn,9,F,freeze,7L9F,dark purple,fin!,filled with sample,,labelled,,,TRUE,16-Aug-2024,,,,
