"sample_name","embryo_no","embryo_phase","status","notes"
"1C4",1,"egg","typical",NA
"1C4",2,"4to16cell","malformed",NA
"1C4",3,"egg","typical",NA
"1C4",4,"4to16cell","typical",NA
"1C4",5,"4to16cell","typical",NA
"1C4",6,"4to16cell","typical",NA
"1C4",7,"egg","typical",NA
"1C4",8,"egg","typical",NA
"1C4",9,"cleavage","typical",NA
"1C4",10,"32to64cell","typical",NA
"1C4",11,"4to16cell","typical",NA
"1C4",12,"egg","typical",NA
"1C4",13,"egg","typical",NA
"1C4",14,"egg","typical",NA
"1C4",15,"4to16cell","typical",NA
"1C4",16,"egg","typical",NA
"1C4",17,"egg","typical",NA
"1C4",18,"egg","typical",NA
"1C4",19,"egg","typical",NA
"1C4",20,"egg","typical",NA
"1C4",21,"egg","typical",NA
"1C4",22,"egg","typical",NA
"1C4",23,"egg","typical",NA
