"sample_name","embryo_no","embryo_phase","status","notes"
"3L4",1,"egg","typical",NA
"3L4",2,"egg","typical",NA
"3L4",3,"4to16cell","typical","incomplete"
"3L4",4,"4to16cell","typical",NA
"3L4",5,"egg","typical",NA
"3L4",6,"egg","typical",NA
"3L4",7,"egg","typical",NA
"3L4",8,"4to16cell","typical",NA
"3L4",9,"egg","typical",NA
"3L4",10,"egg","typical",NA
"3L4",11,"cleavage","typical",NA
"3L4",12,"cleavage","typical",NA
"3L4",13,"egg","typical",NA
"3L4",14,"egg","typical",NA
"3L4",15,"cleavage","typical","incomplete"
"3L4",16,"egg","typical",NA
"3L4",17,"egg","typical",NA
"3L4",18,"egg","typical",NA
"3L4",19,"egg","typical",NA
"3L4",20,"4to16cell","typical",NA
