"sample_name","embryo_no","embryo_phase","status","notes"
"10C9",1,"prawnchip","malformed","disintegrating"
"10C9",2,"prawnchip","typical",NA
"10C9",3,"prawnchip","typical",NA
"10C9",4,"prawnchip","typical",NA
"10C9",5,"prawnchip","typical",NA
"10C9",6,"prawnchip","typical",NA
"10C9",7,"prawnchip","typical",NA
"10C9",8,"prawnchip","uncertain","torn"
"10C9",9,"32to64cell","typical",NA
"10C9",10,"prawnchip","malformed","torn"
"10C9",11,"prawnchip","malformed","torn"
"10C9",12,"prawnchip","typical",NA
"10C9",13,"prawnchip","typical",NA
"10C9",14,"prawnchip","uncertain",NA
"10C9",15,"prawnchip","typical",NA
"10C9",16,"prawnchip","typical",NA
"10C9",17,"prawnchip","typical",NA
"10C9",18,"prawnchip","typical",NA
"10C9",19,"prawnchip","typical",NA
