"sample_name","embryo_no","embryo_phase","status","notes"
"4C9",1,"prawnchip","uncertain",NA
"4C9",2,"prawnchip","uncertain",NA
"4C9",3,"prawnchip","typical",NA
"4C9",4,"prawnchip","typical",NA
"4C9",5,"prawnchip","typical",NA
"4C9",6,"prawnchip","typical",NA
"4C9",7,"prawnchip","typical",NA
"4C9",8,"prawnchip","uncertain",NA
"4C9",9,"prawnchip","malformed","torn"
"4C9",10,"prawnchip","typical",NA
"4C9",11,"prawnchip","typical",NA
"4C9",12,"prawnchip","typical",NA
"4C9",13,"prawnchip","typical",NA
"4C9",14,"prawnchip","typical",NA
"4C9",15,"prawnchip","typical",NA
"4C9",16,"prawnchip","typical",NA
"4C9",17,"prawnchip","typical",NA
