"sample_name","embryo_no","embryo_phase","status","notes"
"4H4",1,"egg","typical",NA
"4H4",2,"4to16cell","typical",NA
"4H4",3,"4to16cell","typical",NA
"4H4",4,"4to16cell","typical",NA
"4H4",5,"egg","typical",NA
"4H4",6,"cleavage","typical",NA
"4H4",7,"4to16cell","typical",NA
"4H4",8,"4to16cell","typical",NA
"4H4",9,"egg","typical",NA
"4H4",10,"4to16cell","typical",NA
"4H4",11,"cleavage","typical",NA
"4H4",12,"cleavage","typical","incomplete"
"4H4",13,"egg","typical",NA
"4H4",14,"egg","typical",NA
"4H4",15,"egg","typical",NA
"4H4",16,"egg","typical",NA
"4H4",17,"egg","typical",NA
"4H4",18,"4to16cell","typical",NA
"4H4",19,"cleavage","typical",NA
"4H4",20,"egg","typical",NA
"4H4",21,"egg","typical",NA
"4H4",22,"egg","typical",NA
"4H4",23,"egg","typical",NA
"4H4",24,"4to16cell","typical",NA
"4H4",25,"egg","typical",NA
