"sample_name","embryo_no","embryo_phase","status","notes"
"8L9",1,"prawnchip","uncertain","torn"
"8L9",2,"prawnchip","uncertain","torn"
"8L9",3,"prawnchip","typical",NA
"8L9",4,"prawnchip","typical",NA
"8L9",5,"prawnchip","typical",NA
"8L9",6,"prawnchip","typical",NA
"8L9",7,"32to64cell","typical",NA
"8L9",8,"prawnchip","typical",NA
"8L9",9,"prawnchip","typical",NA
"8L9",10,"prawnchip","typical",NA
"8L9",11,"prawnchip","typical",NA
"8L9",12,"prawnchip","uncertain","torn"
"8L9",13,"prawnchip","uncertain","torn"
"8L9",14,"prawnchip","typical",NA
"8L9",15,"prawnchip","typical",NA
"8L9",16,"prawnchip","malformed","torn"
"8L9",17,"prawnchip","typical",NA
"8L9",18,"prawnchip","typical",NA
"8L9",19,"prawnchip","malformed",NA
"8L9",20,"prawnchip","typical",NA
"8L9",21,"prawnchip","typical",NA
"8L9",22,"prawnchip","typical",NA
"8L9",23,"prawnchip","typical",NA
"8L9",24,"prawnchip","typical",NA
"8L9",25,"prawnchip","typical",NA
"8L9",26,"prawnchip","typical",NA
