"sample_name","embryo_no","embryo_phase","status","notes"
"6C9",1,"prawnchip","uncertain","disintegrating"
"6C9",2,"prawnchip","typical",NA
"6C9",3,"prawnchip","typical",NA
"6C9",4,"prawnchip","typical",NA
"6C9",5,"prawnchip","typical",NA
"6C9",6,"prawnchip","typical",NA
"6C9",7,"prawnchip","typical",NA
"6C9",8,"egg","typical",NA
"6C9",9,"prawnchip","typical",NA
"6C9",10,"egg","uncertain","disintegrating"
"6C9",11,"egg","uncertain","disintegrating"
"6C9",12,"32to64cell","typical",NA
"6C9",13,"prawnchip","uncertain","torn"
"6C9",14,"prawnchip","typical",NA
