"sample_name","embryo_no","embryo_phase","status","notes"
"10H9",1,"prawnchip","typical",NA
"10H9",2,"prawnchip","typical",NA
"10H9",3,"prawnchip","malformed","torn"
"10H9",4,"prawnchip","typical",NA
"10H9",5,"prawnchip","typical",NA
"10H9",6,"prawnchip","typical",NA
"10H9",7,"prawnchip","typical",NA
"10H9",8,"prawnchip","uncertain","torn"
"10H9",9,"prawnchip","typical",NA
"10H9",10,"prawnchip","uncertain","torn"
"10H9",11,"prawnchip","typical",NA
"10H9",12,"prawnchip","typical",NA
"10H9",13,"prawnchip","typical",NA
"10H9",14,"prawnchip","typical",NA
"10H9",15,"prawnchip","typical",NA
"10H9",16,"prawnchip","typical",NA
"10H9",17,"prawnchip","typical",NA
"10H9",18,"prawnchip","typical",NA
"10H9",19,"prawnchip","typical",NA
"10H9",20,"prawnchip","typical",NA
