"sample_name","embryo_no","embryo_phase","status","notes"
"8H9",1,"prawnchip","typical",NA
"8H9",2,"prawnchip","typical",NA
"8H9",3,"egg","uncertain","disintegrating"
"8H9",4,"prawnchip","typical",NA
"8H9",5,"prawnchip","typical",NA
"8H9",6,"prawnchip","typical",NA
"8H9",7,"prawnchip","typical",NA
"8H9",8,"prawnchip","typical",NA
"8H9",9,"prawnchip","typical",NA
"8H9",10,"prawnchip","uncertain","torn"
"8H9",11,"prawnchip","typical",NA
"8H9",12,"prawnchip","typical",NA
"8H9",13,"prawnchip","typical",NA
"8H9",14,"egg","typical",NA
"8H9",15,"prawnchip","typical",NA
"8H9",16,"prawnchip","uncertain","torn"
"8H9",17,"prawnchip","typical",NA
"8H9",18,"prawnchip","typical",NA
"8H9",19,"prawnchip","typical",NA
"8H9",20,"prawnchip","typical",NA
"8H9",21,"prawnchip","typical",NA
"8H9",22,"prawnchip","typical",NA
"8H9",23,"prawnchip","uncertain","torn"
