"sample_name","embryo_no","embryo_phase","status","notes"
"5L9",1,"prawnchip","uncertain","torn"
"5L9",2,"prawnchip","typical",NA
"5L9",3,"prawnchip","typical",NA
"5L9",4,"prawnchip","uncertain","torn"
"5L9",5,"prawnchip","typical",NA
"5L9",6,"prawnchip","typical",NA
"5L9",7,"prawnchip","uncertain","torn"
"5L9",8,"prawnchip","typical",NA
"5L9",9,"prawnchip","malformed","torn"
"5L9",10,"prawnchip","typical",NA
"5L9",11,"prawnchip","uncertain","torn"
"5L9",12,"prawnchip","typical",NA
"5L9",13,"prawnchip","typical",NA
"5L9",14,"prawnchip","typical",NA
