"sample_name","embryo_no","embryo_phase","status","notes"
"4M4",1,"egg","typical",NA
"4M4",2,"32to64cell","typical",NA
"4M4",3,"4to16cell","typical",NA
"4M4",4,"4to16cell","typical",NA
"4M4",5,"cleavage","typical",NA
"4M4",6,"egg","typical",NA
"4M4",7,"egg","typical",NA
"4M4",8,"egg","typical",NA
"4M4",9,"egg","typical",NA
"4M4",10,"egg","typical",NA
"4M4",11,"egg","typical",NA
"4M4",12,"egg","typical",NA
"4M4",13,"32to64cell","typical",NA
"4M4",14,"4to16cell","typical",NA
"4M4",15,"egg","typical",NA
"4M4",16,"egg","typical",NA
"4M4",17,"egg","typical",NA
"4M4",18,"egg","typical",NA
"4M4",19,"egg","typical",NA
"4M4",20,"cleavage","typical",NA
"4M4",21,"4to16cell","typical",NA
"4M4",22,"egg","typical",NA
"4M4",23,"egg","typical",NA
"4M4",24,"egg","typical",NA
"4M4",25,"egg","typical",NA
"4M4",26,"32to64cell","typical",NA
"4M4",27,"32to64cell","typical",NA
