"sample_name","embryo_no","embryo_phase","status","notes"
"7C9",1,"prawnchip","uncertain","disintegrating"
"7C9",2,"32to64cell","typical",NA
"7C9",3,"egg","uncertain","disintegrating"
"7C9",4,"32to64cell","typical",NA
"7C9",5,"4to16cell","typical",NA
"7C9",6,"egg","uncertain","disintegrating"
"7C9",7,"egg","uncertain","disintegrating"
"7C9",8,"4to16cell","typical",NA
"7C9",9,"4to16cell","typical",NA
"7C9",10,"prawnchip","typical",NA
"7C9",11,"egg","uncertain","disintegrating"
"7C9",12,"4to16cell","typical",NA
"7C9",13,"egg","uncertain","disintegrating"
