"sample_name","embryo_no","embryo_phase","status","notes"
"9M9",1,"prawnchip","malformed","torn"
"9M9",2,"prawnchip","typical",NA
"9M9",3,"prawnchip","typical",NA
"9M9",4,"prawnchip","typical",NA
"9M9",5,"prawnchip","typical",NA
"9M9",6,"prawnchip","typical",NA
"9M9",7,"prawnchip","typical",NA
"9M9",8,"prawnchip","typical",NA
"9M9",9,"prawnchip","typical",NA
"9M9",10,"prawnchip","malformed","torn"
"9M9",11,"prawnchip","typical",NA
"9M9",12,"prawnchip","typical",NA
"9M9",13,"prawnchip","typical",NA
"9M9",14,"prawnchip","uncertain","torn"
"9M9",15,"prawnchip","uncertain","torn"
