"sample_name","embryo_no","embryo_phase","status","notes"
"8M9",1,"prawnchip","typical",NA
"8M9",2,"prawnchip","typical",NA
"8M9",3,"prawnchip","typical",NA
"8M9",4,"prawnchip","typical",NA
"8M9",5,"prawnchip","typical",NA
"8M9",6,"prawnchip","typical",NA
"8M9",7,"prawnchip","malformed","torn"
"8M9",8,"prawnchip","typical",NA
"8M9",9,"prawnchip","typical",NA
"8M9",10,"prawnchip","typical",NA
"8M9",11,"prawnchip","uncertain","torn"
"8M9",12,"prawnchip","typical",NA
"8M9",13,"prawnchip","typical",NA
"8M9",14,"prawnchip","typical",NA
"8M9",15,"prawnchip","malformed","torn"
"8M9",16,"prawnchip","typical",NA
"8M9",17,"prawnchip","typical",NA
"8M9",18,"prawnchip","typical",NA
"8M9",19,"prawnchip","typical",NA
"8M9",20,"prawnchip","malformed","torn"
"8M9",21,"prawnchip","typical",NA
"8M9",22,"prawnchip","typical",NA
"8M9",23,"prawnchip","uncertain","torn"
"8M9",24,"prawnchip","typical",NA
"8M9",25,"prawnchip","typical",NA
"8M9",26,"prawnchip","uncertain","torn"
