"sample_name","embryo_no","embryo_phase","status","notes"
"8L4",1,"4to16cell","typical",NA
"8L4",2,"egg","typical",NA
"8L4",3,"4to16cell","typical",NA
"8L4",4,"4to16cell","typical",NA
"8L4",5,"egg","typical",NA
"8L4",6,"egg","typical",NA
"8L4",7,"cleavage","typical",NA
"8L4",8,"egg","typical",NA
"8L4",9,"cleavage","typical",NA
"8L4",10,"egg","typical",NA
"8L4",11,"egg","typical",NA
"8L4",12,"egg","typical",NA
"8L4",13,"egg","typical",NA
"8L4",14,"cleavage","typical",NA
"8L4",15,"cleavage","typical",NA
"8L4",16,"cleavage","typical",NA
"8L4",17,"cleavage","typical",NA
"8L4",18,"egg","typical",NA
"8L4",19,"cleavage","typical",NA
"8L4",20,"4to16cell","typical",NA
"8L4",21,"cleavage","typical",NA
"8L4",22,"egg","typical",NA
"8L4",23,"cleavage","typical",NA
"8L4",24,"cleavage","typical",NA
"8L4",25,"cleavage","typical",NA
"8L4",26,"cleavage","typical",NA
"8L4",27,"cleavage","typical",NA
"8L4",28,"cleavage","typical",NA
"8L4",29,"cleavage","typical",NA
"8L4",30,"4to16cell","typical",NA
