"sample_name","embryo_no","embryo_phase","status","notes"
"9L9",1,"prawnchip","malformed","disintegrating"
"9L9",2,"prawnchip","typical",NA
"9L9",3,"prawnchip","typical",NA
"9L9",4,"prawnchip","typical",NA
"9L9",5,"prawnchip","typical",NA
"9L9",6,"prawnchip","malformed","torn"
"9L9",7,"prawnchip","malformed","torn"
"9L9",8,"prawnchip","typical",NA
"9L9",9,"32to64cell","typical",NA
"9L9",10,"prawnchip","typical",NA
"9L9",11,"prawnchip","uncertain","torn"
"9L9",12,"prawnchip","typical",NA
"9L9",13,"prawnchip","uncertain","torn"
"9L9",14,"prawnchip","typical",NA
"9L9",15,"prawnchip","malformed","disintegrating"
"9L9",16,"prawnchip","typical",NA
