"sample_name","embryo_no","embryo_phase","status","notes"
"5H9",1,"prawnchip","malformed","torn"
"5H9",2,"prawnchip","typical",NA
"5H9",3,"prawnchip","typical",NA
"5H9",4,"prawnchip","typical",NA
"5H9",5,"prawnchip","typical",NA
"5H9",6,"prawnchip","typical",NA
"5H9",7,"prawnchip","uncertain","torn"
"5H9",8,"prawnchip","typical",NA
"5H9",9,"prawnchip","uncertain",NA
"5H9",10,"prawnchip","typical",NA
"5H9",11,"prawnchip","typical",NA
"5H9",12,"prawnchip","typical",NA
"5H9",13,"prawnchip","typical",NA
"5H9",14,"prawnchip","typical",NA
"5H9",15,"prawnchip","uncertain",NA
