"sample_name","embryo_no","embryo_phase","status","notes"
"5M9",1,"prawnchip","uncertain","torn"
"5M9",2,"prawnchip","typical",NA
"5M9",3,"prawnchip","uncertain","torn"
"5M9",4,"prawnchip","malformed","torn"
"5M9",5,"prawnchip","typical",NA
"5M9",6,"prawnchip","typical",NA
"5M9",7,"prawnchip","typical",NA
"5M9",8,"32to64cell","malformed","disintegrating"
"5M9",9,"prawnchip","typical",NA
"5M9",10,"prawnchip","typical",NA
"5M9",11,"prawnchip","typical",NA
"5M9",12,"prawnchip","typical",NA
"5M9",13,"prawnchip","typical",NA
"5M9",14,"egg","malformed","disintegrating"
"5M9",15,"prawnchip","typical",NA
