"sample_name","embryo_no","embryo_phase","status","notes"
"3C9",1,"prawnchip","typical",NA
"3C9",2,"prawnchip","typical",NA
"3C9",3,"prawnchip","uncertain","disintegrating"
"3C9",4,"prawnchip","typical",NA
"3C9",5,"prawnchip","uncertain","torn"
"3C9",6,"prawnchip","typical",NA
"3C9",7,"prawnchip","typical",NA
"3C9",8,"prawnchip","typical",NA
"3C9",9,"prawnchip","typical",NA
"3C9",10,"prawnchip","typical",NA
"3C9",11,"prawnchip","typical",NA
"3C9",12,"prawnchip","typical",NA
"3C9",13,"prawnchip","typical",NA
