"sample_name","embryo_no","embryo_phase","status","notes"
"10M9",1,"prawnchip","typical",NA
"10M9",2,"prawnchip","typical",NA
"10M9",3,"prawnchip","typical",NA
"10M9",4,"prawnchip","typical",NA
"10M9",5,"prawnchip","malformed","torn"
"10M9",6,"prawnchip","typical",NA
"10M9",7,"prawnchip","typical",NA
"10M9",8,"prawnchip","typical",NA
"10M9",9,"prawnchip","typical",NA
"10M9",10,"prawnchip","typical",NA
"10M9",11,"prawnchip","typical",NA
"10M9",12,"prawnchip","typical",NA
"10M9",13,"prawnchip","typical",NA
"10M9",14,"prawnchip","typical",NA
"10M9",15,"prawnchip","malformed","torn"
