sample_id,treatment,hpf,date,status,n
10C14,control,14,2024-06-07,typical,20
10C14,control,14,2024-06-07,uncertain,1
10C14,control,14,2024-06-07,malformed,2
10C4,control,4,2024-06-07,typical,29
10C4,control,4,2024-06-07,uncertain,0
10C4,control,4,2024-06-07,malformed,0
10C9,control,9,2024-06-07,typical,14
10C9,control,9,2024-06-07,uncertain,2
10C9,control,9,2024-06-07,malformed,3
10H14,high,14,2024-06-07,typical,8
10H14,high,14,2024-06-07,uncertain,3
10H14,high,14,2024-06-07,malformed,4
10H4,high,4,2024-06-07,typical,20
10H4,high,4,2024-06-07,uncertain,0
10H4,high,4,2024-06-07,malformed,1
10H9,high,9,2024-06-07,typical,17
10H9,high,9,2024-06-07,uncertain,2
10H9,high,9,2024-06-07,malformed,1
10L14,low,14,2024-06-07,typical,13
10L14,low,14,2024-06-07,uncertain,0
10L14,low,14,2024-06-07,malformed,2
10L4,low,4,2024-06-07,typical,26
10L4,low,4,2024-06-07,uncertain,0
10L4,low,4,2024-06-07,malformed,1
10L9,low,9,2024-06-07,typical,18
10L9,low,9,2024-06-07,uncertain,7
10L9,low,9,2024-06-07,malformed,3
10M14,mid,14,2024-06-07,typical,19
10M14,mid,14,2024-06-07,uncertain,0
10M14,mid,14,2024-06-07,malformed,2
10M4,mid,4,2024-06-07,typical,30
10M4,mid,4,2024-06-07,uncertain,0
10M4,mid,4,2024-06-07,malformed,1
10M9,mid,9,2024-06-07,typical,13
10M9,mid,9,2024-06-07,uncertain,0
10M9,mid,9,2024-06-07,malformed,2
1C14,control,14,2024-05-07,typical,10
1C14,control,14,2024-05-07,uncertain,0
1C14,control,14,2024-05-07,malformed,0
1C4,control,4,2024-05-07,typical,22
1C4,control,4,2024-05-07,uncertain,0
1C4,control,4,2024-05-07,malformed,1
1C9,control,9,2024-05-07,typical,4
1C9,control,9,2024-05-07,uncertain,0
1C9,control,9,2024-05-07,malformed,0
1H14,high,14,2024-05-07,typical,9
1H14,high,14,2024-05-07,uncertain,0
1H14,high,14,2024-05-07,malformed,0
1H4,high,4,2024-05-07,typical,25
1H4,high,4,2024-05-07,uncertain,0
1H4,high,4,2024-05-07,malformed,0
1H9,high,9,2024-05-07,typical,2
1H9,high,9,2024-05-07,uncertain,1
1H9,high,9,2024-05-07,malformed,3
1L14,low,14,2024-05-07,typical,8
1L14,low,14,2024-05-07,uncertain,0
1L14,low,14,2024-05-07,malformed,0
1L4,low,4,2024-05-07,typical,18
1L4,low,4,2024-05-07,uncertain,3
1L4,low,4,2024-05-07,malformed,0
1L9,low,9,2024-05-07,typical,9
1L9,low,9,2024-05-07,uncertain,0
1L9,low,9,2024-05-07,malformed,0
1M14,mid,14,2024-05-07,typical,2
1M14,mid,14,2024-05-07,uncertain,0
1M14,mid,14,2024-05-07,malformed,1
1M4,mid,4,2024-05-07,typical,23
1M4,mid,4,2024-05-07,uncertain,0
1M4,mid,4,2024-05-07,malformed,1
1M9,mid,9,2024-05-07,typical,8
1M9,mid,9,2024-05-07,uncertain,1
1M9,mid,9,2024-05-07,malformed,3
3C14,control,14,2024-05-07,typical,7
3C14,control,14,2024-05-07,uncertain,0
3C14,control,14,2024-05-07,malformed,0
3C4,control,4,2024-05-07,typical,31
3C4,control,4,2024-05-07,uncertain,2
3C4,control,4,2024-05-07,malformed,0
3C9,control,9,2024-05-07,typical,11
3C9,control,9,2024-05-07,uncertain,2
3C9,control,9,2024-05-07,malformed,0
3H14,high,14,2024-05-07,typical,1
3H14,high,14,2024-05-07,uncertain,1
3H14,high,14,2024-05-07,malformed,0
3H4,high,4,2024-05-07,typical,30
3H4,high,4,2024-05-07,uncertain,0
3H4,high,4,2024-05-07,malformed,0
3H9,high,9,2024-05-07,typical,9
3H9,high,9,2024-05-07,uncertain,0
3H9,high,9,2024-05-07,malformed,0
3L14,low,14,2024-05-07,typical,3
3L14,low,14,2024-05-07,uncertain,0
3L14,low,14,2024-05-07,malformed,0
3L4,low,4,2024-05-07,typical,20
3L4,low,4,2024-05-07,uncertain,0
3L4,low,4,2024-05-07,malformed,0
3L9,low,9,2024-05-07,typical,0
3L9,low,9,2024-05-07,uncertain,0
3L9,low,9,2024-05-07,malformed,0
3M14,mid,14,2024-05-07,typical,12
3M14,mid,14,2024-05-07,uncertain,1
3M14,mid,14,2024-05-07,malformed,2
3M4,mid,4,2024-05-07,typical,27
3M4,mid,4,2024-05-07,uncertain,1
3M4,mid,4,2024-05-07,malformed,0
