treatment,hpf,stage,mean,lo,hi,Stage
low,4,n_cleavage,0.060901986544533465,-0.07279664929038304,0.20800687974997734,Cleavage
low,4,n_earlygastrula,-3.5602952495494685e-10,-2.2828035424326357e-9,2.0439637983376375e-9,Early gastrula
low,4,n_egg,-0.04633775362950292,-0.2844138027556954,0.19542281636145295,Egg
low,4,n_morula,-0.014581314699112091,-0.1726793646427543,0.1457352269575717,Morula
low,4,n_prawnchip,-2.544579968093928e-10,-2.2485173045545367e-9,2.0439664418407794e-9,Prawnchip
low,9,n_cleavage,-0.007904625805361186,-0.023612920909944088,6.887860299667823e-9,Cleavage
low,9,n_earlygastrula,-5.210356758798082e-9,-3.4550271852422365e-8,1.506218036649236e-8,Early gastrula
low,9,n_egg,-0.06917115563904383,-0.16817196799576212,7.82678530642779e-9,Egg
low,9,n_morula,-0.03552021772948731,-0.16268524930304135,0.06285752391030432,Morula
low,9,n_prawnchip,0.10639328528976778,-0.03716630591629924,0.3003337212870601,Prawnchip
low,14,n_cleavage,-2.8836675936434006e-9,-1.9154175137607914e-8,1.4448146890337783e-8,Cleavage
low,14,n_earlygastrula,0.05898343713694972,-0.03745745745744499,0.2264947245764466,Early gastrula
low,14,n_egg,0.00830387886362369,-1.2559029302367888e-8,0.02746701699984396,Egg
low,14,n_morula,-0.009981765809712027,-0.03941903481983358,1.0932330291354787e-8,Morula
low,14,n_prawnchip,-0.05825217720635845,-0.21537090423943964,0.02879834797336657,Prawnchip
mid,4,n_cleavage,0.03690453875136473,-0.12800722802584585,0.1822305083591596,Cleavage
mid,4,n_earlygastrula,1.475541481670511e-9,-5.923547074553034e-10,3.7048340866287586e-9,Early gastrula
mid,4,n_egg,-0.0546990325493956,-0.34785613293395934,0.23243462788733482,Egg
mid,4,n_morula,0.018145985867156177,-0.15278137584307205,0.18610260339644774,Morula
mid,4,n_prawnchip,1.5248180819177401e-9,-5.92352948837279e-10,3.7048338219127228e-9,Prawnchip
mid,9,n_cleavage,-0.007904626306830361,-0.02361291290195596,7.582030533849787e-9,Cleavage
mid,9,n_earlygastrula,-5.614906467082867e-9,-3.555017874895256e-8,1.4014068067911119e-8,Early gastrula
mid,9,n_egg,-0.02250072420505085,-0.14057572443583283,0.08494693817928803,Egg
mid,9,n_morula,-0.05437771191441621,-0.1735460733776282,0.03237856447170223,Morula
mid,9,n_prawnchip,0.068872277416873115,-0.11059330548379548,0.29663353789596986,Prawnchip
mid,14,n_cleavage,-5.586873183742559e-9,-2.1211034438913357e-8,1.513101212847618e-8,Cleavage
mid,14,n_earlygastrula,0.08479086615258175,-4.668487818548777e-15,0.24409793334575186,Early gastrula
mid,14,n_egg,-5.875160318511116e-9,-2.1211034448271456e-8,1.5131012195054144e-8,Egg
mid,14,n_morula,-0.009981768509408313,-0.03941903097459379,1.1460962046610802e-8,Morula
mid,14,n_prawnchip,-0.07575553723104406,-0.23595823300791977,6.447906899636189e-9,Prawnchip
high,4,n_cleavage,-0.011356260893802048,-0.16022823761187474,0.12323878059830054,Cleavage
high,4,n_earlygastrula,5.018131662861739e-10,-9.712263640804572e-10,2.2078392788037217e-9,Early gastrula
high,4,n_egg,0.026923833678335746,-0.21507844305124646,0.30670329955119546,Egg
high,4,n_morula,-0.015262739155358874,-0.18699431279587517,0.14369913273329493,Morula
high,4,n_prawnchip,6.552818545194547e-10,-9.274397108997711e-10,2.2219875119783223e-9,Prawnchip
high,9,n_cleavage,-0.007884815890015738,-0.023612911819403996,1.1767666212524356e-8,Cleavage
high,9,n_earlygastrula,-3.828054361203762e-9,-3.336740015656359e-8,1.6405247088155308e-8,Early gastrula
high,9,n_egg,0.04311303554159609,-0.11527636537709633,0.242317447102776,Egg
high,9,n_morula,-0.0907543061329138,-0.20393590948052168,-0.014895349968353285,Morula
high,9,n_prawnchip,0.03285126149105277,-0.2122662260772223,0.2758012820512812,Prawnchip
high,14,n_cleavage,1.0783907797270813e-8,-1.0080615737900896e-8,4.07643997043551e-8,Cleavage
high,14,n_earlygastrula,-0.003745528133674222,-0.12761403646475417,0.16511317969040387,Early gastrula
high,14,n_egg,0.010436443201650426,-7.025882611738391e-9,0.038309155300541825,Egg
high,14,n_morula,-0.009981752103308487,-0.03941901751354429,3.208550603331211e-8,Morula
high,14,n_prawnchip,0.0024889180001781987,-0.1643772143586063,0.11835381656183473,Prawnchip
