sample_id,treatment,hpf,date,stage,n
6C14,control,14,2024-06-07,earlygastrula,17
6C4,control,4,2024-06-07,egg,32
6C4,control,4,2024-06-07,cleavage,0
6C4,control,4,2024-06-07,morula,0
6C4,control,4,2024-06-07,prawnchip,0
6C4,control,4,2024-06-07,earlygastrula,0
6C9,control,9,2024-06-07,egg,3
6C9,control,9,2024-06-07,cleavage,0
6C9,control,9,2024-06-07,morula,1
6C9,control,9,2024-06-07,prawnchip,10
6C9,control,9,2024-06-07,earlygastrula,0
6H14,high,14,2024-06-07,egg,0
6H14,high,14,2024-06-07,cleavage,0
6H14,high,14,2024-06-07,morula,0
6H14,high,14,2024-06-07,prawnchip,2
6H14,high,14,2024-06-07,earlygastrula,12
6H4,high,4,2024-06-07,egg,27
6H4,high,4,2024-06-07,cleavage,0
6H4,high,4,2024-06-07,morula,0
6H4,high,4,2024-06-07,prawnchip,0
6H4,high,4,2024-06-07,earlygastrula,0
6H9,high,9,2024-06-07,egg,14
6H9,high,9,2024-06-07,cleavage,0
6H9,high,9,2024-06-07,morula,0
6H9,high,9,2024-06-07,prawnchip,9
6H9,high,9,2024-06-07,earlygastrula,0
6L14,low,14,2024-06-07,egg,0
6L14,low,14,2024-06-07,cleavage,0
6L14,low,14,2024-06-07,morula,0
6L14,low,14,2024-06-07,prawnchip,0
6L14,low,14,2024-06-07,earlygastrula,16
6L4,low,4,2024-06-07,egg,34
6L4,low,4,2024-06-07,cleavage,0
6L4,low,4,2024-06-07,morula,0
6L4,low,4,2024-06-07,prawnchip,0
6L4,low,4,2024-06-07,earlygastrula,0
6L9,low,9,2024-06-07,egg,0
6L9,low,9,2024-06-07,cleavage,0
6L9,low,9,2024-06-07,morula,2
6L9,low,9,2024-06-07,prawnchip,18
6L9,low,9,2024-06-07,earlygastrula,0
6M14,mid,14,2024-06-07,egg,0
6M14,mid,14,2024-06-07,cleavage,0
6M14,mid,14,2024-06-07,morula,0
6M14,mid,14,2024-06-07,prawnchip,0
6M14,mid,14,2024-06-07,earlygastrula,9
6M4,mid,4,2024-06-07,egg,17
6M4,mid,4,2024-06-07,cleavage,0
6M4,mid,4,2024-06-07,morula,0
6M4,mid,4,2024-06-07,prawnchip,0
6M4,mid,4,2024-06-07,earlygastrula,0
6M9,mid,9,2024-06-07,egg,6
6M9,mid,9,2024-06-07,cleavage,0
6M9,mid,9,2024-06-07,morula,2
6M9,mid,9,2024-06-07,prawnchip,20
6M9,mid,9,2024-06-07,earlygastrula,0
7C14,control,14,2024-06-07,egg,0
7C14,control,14,2024-06-07,cleavage,0
7C14,control,14,2024-06-07,morula,1
7C14,control,14,2024-06-07,prawnchip,0
7C14,control,14,2024-06-07,earlygastrula,6
7C4,control,4,2024-06-07,egg,25
7C4,control,4,2024-06-07,cleavage,0
7C4,control,4,2024-06-07,morula,0
7C4,control,4,2024-06-07,prawnchip,0
7C4,control,4,2024-06-07,earlygastrula,0
7C9,control,9,2024-06-07,egg,5
7C9,control,9,2024-06-07,cleavage,0
7C9,control,9,2024-06-07,morula,6
7C9,control,9,2024-06-07,prawnchip,2
7C9,control,9,2024-06-07,earlygastrula,0
7H14,high,14,2024-06-07,egg,0
7H14,high,14,2024-06-07,cleavage,0
7H14,high,14,2024-06-07,morula,0
7H14,high,14,2024-06-07,prawnchip,0
7H14,high,14,2024-06-07,earlygastrula,10
7H4,high,4,2024-06-07,egg,31
7H4,high,4,2024-06-07,cleavage,0
7H4,high,4,2024-06-07,morula,0
7H4,high,4,2024-06-07,prawnchip,0
7H4,high,4,2024-06-07,earlygastrula,0
7H9,high,9,2024-06-07,egg,0
7H9,high,9,2024-06-07,cleavage,0
7H9,high,9,2024-06-07,morula,0
7H9,high,9,2024-06-07,prawnchip,0
7H9,high,9,2024-06-07,earlygastrula,0
7L14,low,14,2024-06-07,egg,0
7L14,low,14,2024-06-07,cleavage,0
7L14,low,14,2024-06-07,morula,0
7L14,low,14,2024-06-07,prawnchip,0
7L14,low,14,2024-06-07,earlygastrula,15
7L4,low,4,2024-06-07,egg,26
7L4,low,4,2024-06-07,cleavage,0
7L4,low,4,2024-06-07,morula,0
7L4,low,4,2024-06-07,prawnchip,0
7L4,low,4,2024-06-07,earlygastrula,0
7L9,low,9,2024-06-07,egg,0
7L9,low,9,2024-06-07,cleavage,0
7L9,low,9,2024-06-07,morula,1
7L9,low,9,2024-06-07,prawnchip,4
7L9,low,9,2024-06-07,earlygastrula,0
7M14,mid,14,2024-06-07,egg,0
7M14,mid,14,2024-06-07,cleavage,0
7M14,mid,14,2024-06-07,morula,0
7M14,mid,14,2024-06-07,prawnchip,0
7M14,mid,14,2024-06-07,earlygastrula,12
7M4,mid,4,2024-06-07,egg,29
7M4,mid,4,2024-06-07,cleavage,0
7M4,mid,4,2024-06-07,morula,0
7M4,mid,4,2024-06-07,prawnchip,0
7M4,mid,4,2024-06-07,earlygastrula,0
7M9,mid,9,2024-06-07,egg,0
7M9,mid,9,2024-06-07,cleavage,0
7M9,mid,9,2024-06-07,morula,1
7M9,mid,9,2024-06-07,prawnchip,11
7M9,mid,9,2024-06-07,earlygastrula,0
8C14,control,14,2024-06-07,egg,0
8C14,control,14,2024-06-07,cleavage,0
8C14,control,14,2024-06-07,morula,0
8C14,control,14,2024-06-07,prawnchip,0
8C14,control,14,2024-06-07,earlygastrula,6
8C4,control,4,2024-06-07,egg,10
8C4,control,4,2024-06-07,cleavage,9
8C4,control,4,2024-06-07,morula,8
8C4,control,4,2024-06-07,prawnchip,0
8C4,control,4,2024-06-07,earlygastrula,0
8C9,control,9,2024-06-07,egg,0
8C9,control,9,2024-06-07,cleavage,0
8C9,control,9,2024-06-07,morula,0
8C9,control,9,2024-06-07,prawnchip,27
8C9,control,9,2024-06-07,earlygastrula,0
8H14,high,14,2024-06-07,egg,0
8H14,high,14,2024-06-07,cleavage,0
8H14,high,14,2024-06-07,morula,0
8H14,high,14,2024-06-07,prawnchip,0
8H14,high,14,2024-06-07,earlygastrula,15
8H4,high,4,2024-06-07,egg,6
8H4,high,4,2024-06-07,cleavage,10
8H4,high,4,2024-06-07,morula,9
8H4,high,4,2024-06-07,prawnchip,0
8H4,high,4,2024-06-07,earlygastrula,0
8H9,high,9,2024-06-07,egg,2
8H9,high,9,2024-06-07,cleavage,0
8H9,high,9,2024-06-07,morula,0
8H9,high,9,2024-06-07,prawnchip,21
8H9,high,9,2024-06-07,earlygastrula,0
8L14,low,14,2024-06-07,egg,0
8L14,low,14,2024-06-07,cleavage,0
8L14,low,14,2024-06-07,morula,0
8L14,low,14,2024-06-07,prawnchip,0
8L14,low,14,2024-06-07,earlygastrula,21
8L4,low,4,2024-06-07,egg,10
8L4,low,4,2024-06-07,cleavage,15
8L4,low,4,2024-06-07,morula,5
8L4,low,4,2024-06-07,prawnchip,0
8L4,low,4,2024-06-07,earlygastrula,0
8L9,low,9,2024-06-07,egg,0
8L9,low,9,2024-06-07,cleavage,0
8L9,low,9,2024-06-07,morula,1
8L9,low,9,2024-06-07,prawnchip,25
8L9,low,9,2024-06-07,earlygastrula,0
8M14,mid,14,2024-06-07,egg,0
8M14,mid,14,2024-06-07,cleavage,0
8M14,mid,14,2024-06-07,morula,0
8M14,mid,14,2024-06-07,prawnchip,0
8M14,mid,14,2024-06-07,earlygastrula,26
8M4,mid,4,2024-06-07,egg,2
8M4,mid,4,2024-06-07,cleavage,9
8M4,mid,4,2024-06-07,morula,10
8M4,mid,4,2024-06-07,prawnchip,0
8M4,mid,4,2024-06-07,earlygastrula,0
8M9,mid,9,2024-06-07,egg,0
8M9,mid,9,2024-06-07,cleavage,0
8M9,mid,9,2024-06-07,morula,0
8M9,mid,9,2024-06-07,prawnchip,26
8M9,mid,9,2024-06-07,earlygastrula,0
9C14,control,14,2024-06-07,egg,0
9C14,control,14,2024-06-07,cleavage,0
9C14,control,14,2024-06-07,morula,0
9C14,control,14,2024-06-07,prawnchip,0
9C14,control,14,2024-06-07,earlygastrula,19
9C4,control,4,2024-06-07,egg,13
9C4,control,4,2024-06-07,cleavage,6
9C4,control,4,2024-06-07,morula,3
9C4,control,4,2024-06-07,prawnchip,0
9C4,control,4,2024-06-07,earlygastrula,0
9C9,control,9,2024-06-07,egg,0
9C9,control,9,2024-06-07,cleavage,1
9C9,control,9,2024-06-07,morula,1
9C9,control,9,2024-06-07,prawnchip,17
9C9,control,9,2024-06-07,earlygastrula,0
9H14,high,14,2024-06-07,egg,0
9H14,high,14,2024-06-07,cleavage,0
9H14,high,14,2024-06-07,morula,0
9H14,high,14,2024-06-07,prawnchip,1
9H14,high,14,2024-06-07,earlygastrula,14
9H4,high,4,2024-06-07,egg,24
9H4,high,4,2024-06-07,cleavage,2
9H4,high,4,2024-06-07,morula,0
9H4,high,4,2024-06-07,prawnchip,0
9H4,high,4,2024-06-07,earlygastrula,0
9H9,high,9,2024-06-07,egg,0
9H9,high,9,2024-06-07,cleavage,0
9H9,high,9,2024-06-07,morula,0
9H9,high,9,2024-06-07,prawnchip,21
9H9,high,9,2024-06-07,earlygastrula,0
9L14,low,14,2024-06-07,egg,0
9L14,low,14,2024-06-07,cleavage,0
9L14,low,14,2024-06-07,morula,0
9L14,low,14,2024-06-07,prawnchip,0
9L14,low,14,2024-06-07,earlygastrula,11
9L4,low,4,2024-06-07,egg,10
9L4,low,4,2024-06-07,cleavage,13
9L4,low,4,2024-06-07,morula,9
9L4,low,4,2024-06-07,prawnchip,0
9L4,low,4,2024-06-07,earlygastrula,0
9L9,low,9,2024-06-07,egg,0
9L9,low,9,2024-06-07,cleavage,0
9L9,low,9,2024-06-07,morula,1
9L9,low,9,2024-06-07,prawnchip,15
9L9,low,9,2024-06-07,earlygastrula,0
9M14,mid,14,2024-06-07,egg,0
9M14,mid,14,2024-06-07,cleavage,0
9M14,mid,14,2024-06-07,morula,0
9M14,mid,14,2024-06-07,prawnchip,0
9M14,mid,14,2024-06-07,earlygastrula,25
9M4,mid,4,2024-06-07,egg,4
9M4,mid,4,2024-06-07,cleavage,9
9M4,mid,4,2024-06-07,morula,8
9M4,mid,4,2024-06-07,prawnchip,0
9M4,mid,4,2024-06-07,earlygastrula,0
9M9,mid,9,2024-06-07,egg,0
9M9,mid,9,2024-06-07,cleavage,0
9M9,mid,9,2024-06-07,morula,0
9M9,mid,9,2024-06-07,prawnchip,15
9M9,mid,9,2024-06-07,earlygastrula,0
